code,term,hierarchy
C08CA13,Lercanidipine,C|C08|C08C|C08CA
C08DA01,Verapamil,C|C08|C08D|C08DA
C08DB01,Diltiazem,C|C08|C08D|C08DB
C09AA01,Captopril,C|C09|C09A|C09AA
C09AA02,Enalapril,C|C09|C09A|C09AA
C09AA03,Lisinopril,C|C09|C09A|C09AA
C09AA05,Ramipril,C|C09|C09A|C09AA
C09AA08,Cilazapril,C|C09|C09A|C09AA
C09AA10,Trandolapril,C|C09|C09A|C09AA
C09CA01,Losartan,C|C09|C09C|C09CA
C09CA03,Valsartan,C|C09|C09C|C09CA
C09CA06,Candesartan,C|C09|C09C|C09CA
C09CA07,Telmisartan,C|C09|C09C|C09CA
C09CA08,Olmesartan medoxomil,C|C09|C09C|C09CA
C09DX04,Sacubitril and valsartan,C|C09|C09D|C09DX
C10AA01,Simvastatin,C|C10|C10A|C10AA
C10AA02,Lovastatin,C|C10|C10A|C10AA
C10AA03,Pravastatin,C|C10|C10A|C10AA
C10AA04,Fluvastatin,C|C10|C10A|C10AA
C10AA05,Atorvastatin,C|C10|C10A|C10AA
C10AA07,Rosuvastatin,C|C10|C10A|C10AA
C10AA08,Pitavastatin,C|C10|C10A|C10AA
C10AB04,Gemfibrozil,C|C10|C10A|C10AB
C10AB05,Fenofibrate,C|C10|C10A|C10AB
C10AX09,Ezetimibe,C|C10|C10A|C10AX
C10AX13,Evolocumab,C|C10|C10A|C10AX
J01,Antibacterials for systemic use,J
J02,Antimycotics for systemic use,J
J04,Antimycobacterials,J
J05,Antivirals for systemic use,J
J06,Immune sera and immunoglobulins,J
J07,Vaccines,J
J01AA02,Doxycycline,J|J01|J01A|J01AA
J01AA07,Tetracycline,J|J01|J01A|J01AA
J01CA04,Amoxicillin,J|J01|J01C|J01CA
J01CA08,Pivmecillinam,J|J01|J01C|J01CA
J01CE02,Phenoxymethylpenicillin,J|J01|J01C|J01CE
J01CR02,Amoxicillin and beta-lactamase inhibitor,J|J01|J01C|J01CR
J01CR05,Piperacillin and beta-lactamase inhibitor,J|J01|J01C|J01CR
J01DB01,Cefalexin,J|J01|J01D|J01DB
J01DC02,Cefuroxime,J|J01|J01D|J01DC
J01DD04,Ceftriaxone,J|J01|J01D|J01DD
J01DD08,Cefixime,J|J01|J01D|J01DD
J01DH02,Meropenem,J|J01|J01D|J01DH
J01DH51,Imipenem and cilastatin,J|J01|J01D|J01DH
J01EE01,Sulfamethoxazole and trimethoprim,J|J01|J01E|J01EE
J01FA01,Erythromycin,J|J01|J01F|J01FA
J01FA09,Clarithromycin,J|J01|J01F|J01FA
J01FA10,Azithromycin,J|J01|J01F|J01FA
J01FF01,Clindamycin,J|J01|J01F|J01FF
J01GB03,Gentamicin,J|J01|J01G|J01GB
J01GB06,Amikacin,J|J01|J01G|J01GB
J01MA01,Ofloxacin,J|J01|J01M|J01MA
J01MA02,Ciprofloxacin,J|J01|J01M|J01MA
J01MA12,Levofloxacin,J|J01|J01M|J01MA
J01MA14,Moxifloxacin,J|J01|J01M|J01MA
J01XA01,Vancomycin,J|J01|J01X|J01XA
J01XD01,Metronidazole,J|J01|J01X|J01XD
J02AC01,Fluconazole,J|J02|J02A|J02AC
J02AC03,Voriconazole,J|J02|J02A|J02AC
J02AC04,Posaconazole,J|J02|J02A|J02AC
J04AB02,Rifampicin,J|J04|J04A|J04AB
J04AC01,Isoniazid,J|J04|J04A|J04AC
J05AB01,Aciclovir,J|J05|J05A|J05AB
J05AB14,Valganciclovir,J|J05|J05A|J05AB
J05AF05,Lamivudine,J|J05|J05A|J05AF
J05AF07,Tenofovir disoproxil,J|J05|J05A|J05AF
J05AH02,Oseltamivir,J|J05|J05A|J05AH
J05AP01,Ribavirin,J|J05|J05A|J05AP
J05AP07,Sofosbuvir,J|J05|J05A|J05AP
J05AR03,Tenofovir disoproxil and emtricitabine,J|J05|J05A|J05AR
L01,Antineoplastic agents,L
L02,Endocrine therapy,L
L03,Immunostimulants,L
L04,Immunosuppressants,L
L01AA01,Cyclophosphamide,L|L01|L01A|L01AA
L01AA02,Chlorambucil,L|L01|L01A|L01AA
L01BA01,Methotrexate,L|L01|L01B|L01BA
L01BC02,Fluorouracil,L|L01|L01B|L01BC
L01BC06,Capecitabine,L|L01|L01B|L01BC
L01CB01,Etoposide,L|L01|L01C|L01CB
L01CD01,Paclitaxel,L|L01|L01C|L01CD
L01CD02,Docetaxel,L|L01|L01C|L01CD
L01XA01,Cisplatin,L|L01|L01X|L01XA
L01XA02,Carboplatin,L|L01|L01X|L01XA
L01XA03,Oxaliplatin,L|L01|L01X|L01XA
L01XC02,Rituximab,L|L01|L01X|L01XC
L01XC03,Trastuzumab,L|L01|L01X|L01XC
L01XC07,Bevacizumab,L|L01|L01X|L01XC
L01XC08,Panitumumab,L|L01|L01X|L01XC
L01XC17,Nivolumab,L|L01|L01X|L01XC
L01XC18,Pembrolizumab,L|L01|L01X|L01XC
L01XE01,Imatinib,L|L01|L01X|L01XE
L01XE03,Erlotinib,L|L01|L01X|L01XE
L01XE07,Lapatinib,L|L01|L01X|L01XE
L01XE13,Afatinib,L|L01|L01X|L01XE
L02BA01,Tamoxifen,L|L02|L02B|L02BA
L02BB03,Bicalutamide,L|L02|L02B|L02BB
L02BG03,Anastrozole,L|L02|L02B|L02BG
L02BG04,Letrozole,L|L02|L02B|L02BG
L02BG06,Exemestane,L|L02|L02B|L02BG
L03AB07,Interferon beta-1a,L|L03|L03A|L03AB
L04AA13,Leflunomide,L|L04|L04A|L04AA
L04AA27,Fingolimod,L|L04|L04A|L04AA
L04AD01,Ciclosporin,L|L04|L04A|L04AD
L04AD02,Tacrolimus,L|L04|L04A|L04AD
L04AX01,Azathioprine,L|L04|L04A|L04AX
L04AX03,Methotrexate (immunosuppressant),L|L04|L04A|L04AX
N01,Anesthetics,N
N02,Analgesics,N
N03,Antiepileptics,N
N04,Anti-Parkinson drugs,N
N05,Psycholeptics,N
N06,Psychoanaleptics,N
N07,Other nervous system drugs,N
N02AA01,Morphine,N|N02|N02A|N02AA
N02AA05,Oxycodone,N|N02|N02A|N02AA
N02AB02,Pethidine,N|N02|N02A|N02AB
N02AB03,Fentanyl,N|N02|N02A|N02AB
N02AX02,Tramadol,N|N02|N02A|N02AX
N02BA01,Acetylsalicylic acid (analgesic),N|N02|N02B|N02BA
N02BE01,Paracetamol,N|N02|N02B|N02BE
N03AB02,Phenytoin,N|N03|N03A|N03AB
N03AF01,Carbamazepine,N|N03|N03A|N03AF
N03AG01,Valproic acid,N|N03|N03A|N03AG
N03AX09,Lamotrigine,N|N03|N03A|N03AX
N03AX12,Gabapentin,N|N03|N03A|N03AX
N03AX14,Levetiracetam,N|N03|N03A|N03AX
N03AX16,Pregabalin,N|N03|N03A|N03AX
N04BA02,Levodopa and decarboxylase inhibitor,N|N04|N04B|N04BA
N04BC05,Pramipexole,N|N04|N04B|N04BC
N05AA01,Chlorpromazine,N|N05|N05A|N05AA
N05AD01,Haloperidol,N|N05|N05A|N05AD
N05AH03,Olanzapine,N|N05|N05A|N05AH
N05AH04,Quetiapine,N|N05|N05A|N05AH
N05AX08,Risperidone,N|N05|N05A|N05AX
N05AX12,Aripiprazole,N|N05|N05A|N05AX
N05BA01,Diazepam,N|N05|N05B|N05BA
N05BA04,Oxazepam,N|N05|N05B|N05BA
N05BA06,Lorazepam,N|N05|N05B|N05BA
N05BA12,Alprazolam,N|N05|N05B|N05BA
N05CD08,Midazolam,N|N05|N05C|N05CD
N05CF01,Zopiclone,N|N05|N05C|N05CF
N05CF02,Zolpidem,N|N05|N05C|N05CF
N06AA09,Amitriptyline,N|N06|N06A|N06AA
N06AB03,Fluoxetine,N|N06|N06A|N06AB
N06AB04,Citalopram,N|N06|N06A|N06AB
N06AB05,Paroxetine,N|N06|N06A|N06AB
N06AB06,Sertraline,N|N06|N06A|N06AB
N06AB10,Escitalopram,N|N06|N06A|N06AB
N06AX11,Mirtazapine,N|N06|N06A|N06AX
N06AX16,Venlafaxine,N|N06|N06A|N06AX
N06AX21,Duloxetine,N|N06|N06A|N06AX
N06DA02,Donepezil,N|N06|N06D|N06DA
N06DA03,Rivastigmine,N|N06|N06D|N06DA
N06DX01,Memantine,N|N06|N06D|N06DX
R01,Nasal preparations,R
R03,Drugs for obstructive airway diseases,R
R05,Cough and cold preparations,R
R06,Antihistamines for systemic use,R
R03AC02,Salbutamol,R|R03|R03A|R03AC
R03AC03,Terbutaline,R|R03|R03A|R03AC
R03AC12,Salmeterol,R|R03|R03A|R03AC
R03AC13,Formoterol,R|R03|R03A|R03AC
R03AC18,Indacaterol,R|R03|R03A|R03AC
R03BA01,Beclometasone,R|R03|R03B|R03BA
R03BA02,Budesonide,R|R03|R03B|R03BA
R03BA05,Fluticasone,R|R03|R03B|R03BA
R03BB01,Ipratropium bromide,R|R03|R03B|R03BB
R03BB04,Tiotropium bromide,R|R03|R03B|R03BB
R03DA04,Theophylline,R|R03|R03D|R03DA
R03DC03,Montelukast,R|R03|R03D|R03DC
R06AE07,Cetirizine,R|R06|R06A|R06AE
R06AE09,Levocetirizine,R|R06|R06A|R06AE
R06AX13,Loratadine,R|R06|R06A|R06AX
R06AX27,Desloratadine,R|R06|R06A|R06AX
R06AX26,Fexofenadine,R|R06|R06A|R06AX
H02AB02,Dexamethasone,H|H02|H02A|H02AB
H02AB06,Prednisolone,H|H02|H02A|H02AB
H02AB07,Prednisone,H|H02|H02A|H02AB
H02AB09,Hydrocortisone,H|H02|H02A|H02AB
H02AB10,Cortisone,H|H02|H02A|H02AB
H03AA01,Levothyroxine sodium,H|H03|H03A|H03AA
H03BA02,Propylthiouracil,H|H03|H03B|H03BA
H03BB02,Carbimazole,H|H03|H03B|H03BB
H04AA01,Glucagon,H|H04|H04A|H04AA
H05BA01,Calcitonin (salmon synthetic),H|H05|H05B|H05BA
M01AB05,Diclofenac,M|M01|M01A|M01AB
M01AE01,Ibuprofen,M|M01|M01A|M01AE
M01AE02,Naproxen,M|M01|M01A|M01AE
M01AH01,Celecoxib,M|M01|M01A|M01AH
M01AH05,Etoricoxib,M|M01|M01A|M01AH
M01CB01,Sodium aurothiomalate,M|M01|M01C|M01CB
M04AA01,Allopurinol,M|M04|M04A|M04AA
M04AA03,Febuxostat,M|M04|M04A|M04AA
M05BA04,Alendronic acid,M|M05|M05B|M05BA
M05BA08,Zoledronic acid,M|M05|M05B|M05BA
D01AC01,Clotrimazole,D|D01|D01A|D01AC
D06AX09,Mupirocin,D|D06|D06A|D06AX
D07AB02,Hydrocortisone butyrate,D|D07|D07A|D07AB
D07AC01,Betamethasone (topical),D|D07|D07A|D07AC
D08AC02,Chlorhexidine,D|D08|D08A|D08AC
D10AD01,Tretinoin,D|D10|D10A|D10AD
