code,term,hierarchy
C17,Malignant neoplasm of small intestine,II Neoplasms|Malignant – digestive organs
C18,Malignant neoplasm of colon,II Neoplasms|Malignant – digestive organs
C19,Malignant neoplasm of rectosigmoid junction,II Neoplasms|Malignant – digestive organs
C20,Malignant neoplasm of rectum,II Neoplasms|Malignant – digestive organs
C21,Malignant neoplasm of anus and anal canal,II Neoplasms|Malignant – digestive organs
C22,Malignant neoplasm of liver and intrahepatic bile ducts,II Neoplasms|Malignant – digestive organs
C23,Malignant neoplasm of gallbladder,II Neoplasms|Malignant – digestive organs
C24,Malignant neoplasm of other / unspecified parts of biliary tract,II Neoplasms|Malignant – digestive organs
C25,Malignant neoplasm of pancreas,II Neoplasms|Malignant – digestive organs
C26,Malignant neoplasm of other / ill-defined digestive organs,II Neoplasms|Malignant – digestive organs
C30,Malignant neoplasm of nasal cavity and middle ear,II Neoplasms|Malignant – respiratory and intrathoracic
C31,Malignant neoplasm of accessory sinuses,II Neoplasms|Malignant – respiratory and intrathoracic
C32,Malignant neoplasm of larynx,II Neoplasms|Malignant – respiratory and intrathoracic
C33,Malignant neoplasm of trachea,II Neoplasms|Malignant – respiratory and intrathoracic
C34,Malignant neoplasm of bronchus and lung,II Neoplasms|Malignant – respiratory and intrathoracic
C37,Malignant neoplasm of thymus,II Neoplasms|Malignant – respiratory and intrathoracic
C38,"Malignant neoplasm of heart, mediastinum and pleura",II Neoplasms|Malignant – respiratory and intrathoracic
C39,Malignant neoplasm of other / ill-defined sites in respiratory system,II Neoplasms|Malignant – respiratory and intrathoracic
C40,Malignant neoplasm of bone / articular cartilage of limbs,"II Neoplasms|Malignant – bone, skin, mesothelial"
C41,Malignant neoplasm of bone / articular cartilage of other / unspecified sites,"II Neoplasms|Malignant – bone, skin, mesothelial"
C43,Malignant melanoma of skin,"II Neoplasms|Malignant – bone, skin, mesothelial"
C44,Other malignant neoplasms of skin,"II Neoplasms|Malignant – bone, skin, mesothelial"
C45,Mesothelioma,"II Neoplasms|Malignant – bone, skin, mesothelial"
C46,Kaposi sarcoma,"II Neoplasms|Malignant – bone, skin, mesothelial"
C47,Malignant neoplasm of peripheral nerves and autonomic nervous system,"II Neoplasms|Malignant – bone, skin, mesothelial"
C48,Malignant neoplasm of retroperitoneum and peritoneum,"II Neoplasms|Malignant – bone, skin, mesothelial"
C49,Malignant neoplasm of other connective and soft tissue,"II Neoplasms|Malignant – bone, skin, mesothelial"
C50,Malignant neoplasm of breast,II Neoplasms|Malignant – breast / genitourinary
C51,Malignant neoplasm of vulva,II Neoplasms|Malignant – breast / genitourinary
C52,Malignant neoplasm of vagina,II Neoplasms|Malignant – breast / genitourinary
C53,Malignant neoplasm of cervix uteri,II Neoplasms|Malignant – breast / genitourinary
C54,Malignant neoplasm of corpus uteri,II Neoplasms|Malignant – breast / genitourinary
C55,"Malignant neoplasm of uterus, part unspecified",II Neoplasms|Malignant – breast / genitourinary
C56,Malignant neoplasm of ovary,II Neoplasms|Malignant – breast / genitourinary
C57,Malignant neoplasm of other / unspecified female genital organs,II Neoplasms|Malignant – breast / genitourinary
C58,Malignant neoplasm of placenta,II Neoplasms|Malignant – breast / genitourinary
C60,Malignant neoplasm of penis,II Neoplasms|Malignant – breast / genitourinary
C61,Malignant neoplasm of prostate,II Neoplasms|Malignant – breast / genitourinary
C62,Malignant neoplasm of testis,II Neoplasms|Malignant – breast / genitourinary
C63,Malignant neoplasm of other / unspecified male genital organs,II Neoplasms|Malignant – breast / genitourinary
C64,"Malignant neoplasm of kidney, except renal pelvis",II Neoplasms|Malignant – breast / genitourinary
C65,Malignant neoplasm of renal pelvis,II Neoplasms|Malignant – breast / genitourinary
C66,Malignant neoplasm of ureter,II Neoplasms|Malignant – breast / genitourinary
C67,Malignant neoplasm of bladder,II Neoplasms|Malignant – breast / genitourinary
C68,Malignant neoplasm of other / unspecified urinary organs,II Neoplasms|Malignant – breast / genitourinary
C69,Malignant neoplasm of eye and adnexa,II Neoplasms|Malignant – eye / brain / endocrine
C70,Malignant neoplasm of meninges,II Neoplasms|Malignant – eye / brain / endocrine
C71,Malignant neoplasm of brain,II Neoplasms|Malignant – eye / brain / endocrine
C72,"Malignant neoplasm of spinal cord, cranial nerves and CNS parts NEC",II Neoplasms|Malignant – eye / brain / endocrine
C73,Malignant neoplasm of thyroid gland,II Neoplasms|Malignant – eye / brain / endocrine
C74,Malignant neoplasm of adrenal gland,II Neoplasms|Malignant – eye / brain / endocrine
C75,Malignant neoplasm of other endocrine glands and related structures,II Neoplasms|Malignant – eye / brain / endocrine
C76,Malignant neoplasm of other / ill-defined sites,II Neoplasms|Malignant – eye / brain / endocrine
C77,Secondary / unspecified malignant neoplasm of lymph nodes,II Neoplasms|Malignant – eye / brain / endocrine
C78,Secondary malignant neoplasm of respiratory and digestive organs,II Neoplasms|Malignant – eye / brain / endocrine
C79,Secondary malignant neoplasm of other / unspecified sites,II Neoplasms|Malignant – eye / brain / endocrine
C80,Malignant neoplasm without specification of site,II Neoplasms|Malignant – eye / brain / endocrine
C81,Hodgkin lymphoma,II Neoplasms|Lymphoid and haematopoietic
C82,Follicular lymphoma,II Neoplasms|Lymphoid and haematopoietic
C83,Non-follicular lymphoma,II Neoplasms|Lymphoid and haematopoietic
C84,Mature T/NK-cell lymphomas,II Neoplasms|Lymphoid and haematopoietic
C85,Other / unspecified types of non-Hodgkin lymphoma,II Neoplasms|Lymphoid and haematopoietic
C88,Malignant immunoproliferative diseases,II Neoplasms|Lymphoid and haematopoietic
C90,Multiple myeloma and malignant plasma cell neoplasms,II Neoplasms|Lymphoid and haematopoietic
C91,Lymphoid leukaemia,II Neoplasms|Lymphoid and haematopoietic
C92,Myeloid leukaemia,II Neoplasms|Lymphoid and haematopoietic
C93,Monocytic leukaemia,II Neoplasms|Lymphoid and haematopoietic
C94,Other leukaemias of specified cell type,II Neoplasms|Lymphoid and haematopoietic
C95,Leukaemia of unspecified cell type,II Neoplasms|Lymphoid and haematopoietic
C96,Other / unspecified malignant neoplasms of lymphoid / haematopoietic / related tissue,II Neoplasms|Lymphoid and haematopoietic
D00,"Carcinoma in situ of oral cavity, oesophagus and stomach",II Neoplasms|Lymphoid and haematopoietic
D01,Carcinoma in situ of other / unspecified digestive organs,II Neoplasms|Lymphoid and haematopoietic
D02,Carcinoma in situ of middle ear and respiratory system,II Neoplasms|Lymphoid and haematopoietic
D03,Melanoma in situ,II Neoplasms|Lymphoid and haematopoietic
D04,Carcinoma in situ of skin,II Neoplasms|Lymphoid and haematopoietic
D05,Carcinoma in situ of breast,II Neoplasms|Lymphoid and haematopoietic
D06,Carcinoma in situ of cervix uteri,II Neoplasms|Lymphoid and haematopoietic
D07,Carcinoma in situ of other / unspecified genital organs,II Neoplasms|Lymphoid and haematopoietic
D09,Carcinoma in situ of other / unspecified sites,II Neoplasms|Lymphoid and haematopoietic
D50,Iron deficiency anaemia,III Blood|Anaemias
D51,Vitamin B12 deficiency anaemia,III Blood|Anaemias
D52,Folate deficiency anaemia,III Blood|Anaemias
D53,Other nutritional anaemias,III Blood|Anaemias
D55,Anaemia due to enzyme disorders,III Blood|Anaemias
D56,Thalassaemia,III Blood|Anaemias
D57,Sickle-cell disorders,III Blood|Anaemias
D58,Other hereditary haemolytic anaemias,III Blood|Anaemias
D59,Acquired haemolytic anaemia,III Blood|Anaemias
D60,Acquired pure red cell aplasia [erythroblastopenia],III Blood|Anaemias
D61,Other aplastic anaemias,III Blood|Anaemias
D62,Acute posthaemorrhagic anaemia,III Blood|Anaemias
D63,Anaemia in chronic diseases classified elsewhere,III Blood|Anaemias
D64,Other anaemias,III Blood|Anaemias
D65,Disseminated intravascular coagulation,III Blood|Coagulation defects
D66,Hereditary factor VIII deficiency,III Blood|Coagulation defects
D67,Hereditary factor IX deficiency,III Blood|Coagulation defects
D68,Other coagulation defects,III Blood|Coagulation defects
D69,Purpura and other haemorrhagic conditions,III Blood|Coagulation defects
D70,Agranulocytosis,III Blood|WBC and other
D71,Functional disorders of polymorphonuclear neutrophils,III Blood|WBC and other
D72,Other disorders of white blood cells,III Blood|WBC and other
D73,Diseases of spleen,III Blood|WBC and other
D74,Methaemoglobinaemia,III Blood|WBC and other
D75,Other / unspecified diseases of blood and blood-forming organs,III Blood|WBC and other
D76,Other specified diseases with lymphoreticular / reticulohistiocytic tissue,III Blood|WBC and other
D77,Other disorders of blood / blood-forming organs in diseases classified elsewhere,III Blood|WBC and other
E10,Type 1 diabetes mellitus,IV Endocrine|Diabetes
E11,Type 2 diabetes mellitus,IV Endocrine|Diabetes
E12,Malnutrition-related diabetes mellitus,IV Endocrine|Diabetes
E13,Other specified diabetes mellitus,IV Endocrine|Diabetes
E14,Unspecified diabetes mellitus,IV Endocrine|Diabetes
E15,Nondiabetic hypoglycaemic coma,IV Endocrine|Diabetes
E16,Other disorders of pancreatic internal secretion,IV Endocrine|Diabetes
E00,Congenital iodine-deficiency syndrome,IV Endocrine|Thyroid
E01,Iodine-deficiency-related thyroid disorders and allied conditions,IV Endocrine|Thyroid
E02,Subclinical iodine-deficiency hypothyroidism,IV Endocrine|Thyroid
E03,Other hypothyroidism,IV Endocrine|Thyroid
E04,Other nontoxic goitre,IV Endocrine|Thyroid
E05,Thyrotoxicosis [hyperthyroidism],IV Endocrine|Thyroid
E06,Thyroiditis,IV Endocrine|Thyroid
E07,Other disorders of thyroid,IV Endocrine|Thyroid
E20,Hypoparathyroidism,IV Endocrine|Other endocrine / metabolic
E21,Hyperparathyroidism and other disorders of parathyroid,IV Endocrine|Other endocrine / metabolic
E22,Hyperfunction of pituitary gland,IV Endocrine|Other endocrine / metabolic
E23,Hypofunction and other disorders of pituitary gland,IV Endocrine|Other endocrine / metabolic
E24,Cushing syndrome,IV Endocrine|Other endocrine / metabolic
E25,Adrenogenital disorders,IV Endocrine|Other endocrine / metabolic
E26,Hyperaldosteronism,IV Endocrine|Other endocrine / metabolic
E27,Other disorders of adrenal gland,IV Endocrine|Other endocrine / metabolic
E28,Ovarian dysfunction,IV Endocrine|Other endocrine / metabolic
E29,Testicular dysfunction,IV Endocrine|Other endocrine / metabolic
E30,Disorders of puberty NEC,IV Endocrine|Other endocrine / metabolic
E31,Polyglandular dysfunction,IV Endocrine|Other endocrine / metabolic
E40,Kwashiorkor,IV Endocrine|Other endocrine / metabolic
E41,Nutritional marasmus,IV Endocrine|Other endocrine / metabolic
E43,Unspecified severe protein-energy malnutrition,IV Endocrine|Other endocrine / metabolic
E44,Protein-energy malnutrition of moderate / mild degree,IV Endocrine|Other endocrine / metabolic
E50,Vitamin A deficiency,IV Endocrine|Other endocrine / metabolic
E51,Thiamine deficiency,IV Endocrine|Other endocrine / metabolic
E52,Niacin deficiency [pellagra],IV Endocrine|Other endocrine / metabolic
E53,Deficiency of other B group vitamins,IV Endocrine|Other endocrine / metabolic
E54,Ascorbic acid deficiency,IV Endocrine|Other endocrine / metabolic
E55,Vitamin D deficiency,IV Endocrine|Other endocrine / metabolic
E56,Other vitamin deficiencies,IV Endocrine|Other endocrine / metabolic
E58,Dietary calcium deficiency,IV Endocrine|Other endocrine / metabolic
E61,Deficiency of other nutrient elements,IV Endocrine|Other endocrine / metabolic
E63,Other nutritional deficiencies,IV Endocrine|Other endocrine / metabolic
E64,Sequelae of malnutrition and other nutritional deficiencies,IV Endocrine|Other endocrine / metabolic
E65,Localized adiposity,IV Endocrine|Other endocrine / metabolic
E66,Obesity,IV Endocrine|Other endocrine / metabolic
E67,Other hyperalimentation,IV Endocrine|Other endocrine / metabolic
E70,Disorders of aromatic amino-acid metabolism,IV Endocrine|Other endocrine / metabolic
E71,Disorders of branched-chain amino-acid metabolism / fatty-acid metabolism,IV Endocrine|Other endocrine / metabolic
E72,Other disorders of amino-acid metabolism,IV Endocrine|Other endocrine / metabolic
E73,Lactose intolerance,IV Endocrine|Other endocrine / metabolic
E74,Other disorders of carbohydrate metabolism,IV Endocrine|Other endocrine / metabolic
E75,Disorders of sphingolipid metabolism and other lipid storage disorders,IV Endocrine|Other endocrine / metabolic
E76,Disorders of glycosaminoglycan metabolism,IV Endocrine|Other endocrine / metabolic
E77,Disorders of glycoprotein metabolism,IV Endocrine|Other endocrine / metabolic
E78,Disorders of lipoprotein metabolism and other lipidaemias,IV Endocrine|Other endocrine / metabolic
E80,Disorders of porphyrin and bilirubin metabolism,IV Endocrine|Other endocrine / metabolic
E83,Disorders of mineral metabolism,IV Endocrine|Other endocrine / metabolic
E84,Cystic fibrosis,IV Endocrine|Other endocrine / metabolic
E85,Amyloidosis,IV Endocrine|Other endocrine / metabolic
E86,Volume depletion,IV Endocrine|Other endocrine / metabolic
E87,"Other disorders of fluid, electrolyte and acid-base balance",IV Endocrine|Other endocrine / metabolic
E88,Other metabolic disorders,IV Endocrine|Other endocrine / metabolic
E89,Postprocedural endocrine and metabolic disorders NEC,IV Endocrine|Other endocrine / metabolic
F00,Dementia in Alzheimer disease,V Mental|Organic / substance
F01,Vascular dementia,V Mental|Organic / substance
F02,Dementia in other diseases classified elsewhere,V Mental|Organic / substance
F03,Unspecified dementia,V Mental|Organic / substance
F04,Organic amnesic syndrome,V Mental|Organic / substance
F05,Delirium not induced by alcohol / psychoactive substances,V Mental|Organic / substance
F06,Other mental disorders due to brain damage / physical disease,V Mental|Organic / substance
F07,Personality / behavioural disorders due to brain disease,V Mental|Organic / substance
F09,Unspecified organic / symptomatic mental disorder,V Mental|Organic / substance
F10,Mental and behavioural disorders due to use of alcohol,V Mental|Organic / substance
F11,Mental and behavioural disorders due to use of opioids,V Mental|Organic / substance
F12,Mental and behavioural disorders due to use of cannabinoids,V Mental|Organic / substance
F13,Mental and behavioural disorders due to use of sedatives or hypnotics,V Mental|Organic / substance
F14,Mental and behavioural disorders due to use of cocaine,V Mental|Organic / substance
F15,Mental and behavioural disorders due to use of other stimulants,V Mental|Organic / substance
F16,Mental and behavioural disorders due to use of hallucinogens,V Mental|Organic / substance
F17,Mental and behavioural disorders due to use of tobacco,V Mental|Organic / substance
F19,Mental and behavioural disorders due to multiple drug use,V Mental|Organic / substance
F20,Schizophrenia,V Mental|Schizophrenia and mood
F21,Schizotypal disorder,V Mental|Schizophrenia and mood
F22,Persistent delusional disorders,V Mental|Schizophrenia and mood
F23,Acute and transient psychotic disorders,V Mental|Schizophrenia and mood
F25,Schizoaffective disorders,V Mental|Schizophrenia and mood
F30,Manic episode,V Mental|Schizophrenia and mood
F31,Bipolar affective disorder,V Mental|Schizophrenia and mood
F32,Depressive episode,V Mental|Schizophrenia and mood
F33,Recurrent depressive disorder,V Mental|Schizophrenia and mood
F34,Persistent mood [affective] disorders,V Mental|Schizophrenia and mood
F40,Phobic anxiety disorders,V Mental|Schizophrenia and mood
F41,Other anxiety disorders,V Mental|Schizophrenia and mood
F42,Obsessive-compulsive disorder,V Mental|Schizophrenia and mood
F43,"Reaction to severe stress, and adjustment disorders",V Mental|Schizophrenia and mood
F44,Dissociative [conversion] disorders,V Mental|Schizophrenia and mood
F45,Somatoform disorders,V Mental|Schizophrenia and mood
F50,Eating disorders,V Mental|Schizophrenia and mood
F51,Nonorganic sleep disorders,V Mental|Schizophrenia and mood
F52,Sexual dysfunction,V Mental|Schizophrenia and mood
F60,Specific personality disorders,V Mental|Schizophrenia and mood
F70,Mild mental retardation,V Mental|Schizophrenia and mood
F71,Moderate mental retardation,V Mental|Schizophrenia and mood
F72,Severe mental retardation,V Mental|Schizophrenia and mood
F73,Profound mental retardation,V Mental|Schizophrenia and mood
F80,Specific developmental disorders of speech and language,V Mental|Schizophrenia and mood
F81,Specific developmental disorders of scholastic skills,V Mental|Schizophrenia and mood
F84,Pervasive developmental disorders,V Mental|Schizophrenia and mood
F90,Hyperkinetic disorders,V Mental|Schizophrenia and mood
F91,Conduct disorders,V Mental|Schizophrenia and mood
F95,Tic disorders,V Mental|Schizophrenia and mood
F99,"Mental disorder, not otherwise specified",V Mental|Schizophrenia and mood
G00,Bacterial meningitis NEC,VI Nervous|CNS inflammatory
G01,Meningitis in bacterial diseases classified elsewhere,VI Nervous|CNS inflammatory
G02,Meningitis in other infectious / parasitic diseases classified elsewhere,VI Nervous|CNS inflammatory
G03,Meningitis due to other / unspecified causes,VI Nervous|CNS inflammatory
G04,"Encephalitis, myelitis and encephalomyelitis",VI Nervous|CNS inflammatory
G06,Intracranial and intraspinal abscess and granuloma,VI Nervous|CNS inflammatory
G08,Intracranial / intraspinal phlebitis and thrombophlebitis,VI Nervous|CNS inflammatory
G20,Parkinson disease,VI Nervous|Degenerative / demyelinating
G21,Secondary parkinsonism,VI Nervous|Degenerative / demyelinating
